protocol,model,split,n_samples,accuracy,macro_f1,weighted_f1,uar,macro_precision,macro_recall,best_epoch,best_val_macro_f1,train_time_sec,stacked_models
single_CREMA-D,stacking_full,test,1489,0.7118871725990598,0.7130048054613797,0.7100844459508234,0.7158175789278364,0.7122045783697241,0.7158175789278364,,,,deep_coattention_full+stats_rbf_svm+emotion2vec_logreg+emotion2vec_mlp
single_CREMA-D,emotion2vec_mlp,test,1489,0.6944257891202149,0.694531463729441,0.6921674279785228,0.6976864973637604,0.6939117390307604,0.6976864973637604,,,7.335692882537842,
single_CREMA-D,deep_coattention_full,test,1489,0.6809939556749496,0.6823753891840014,0.679254187608654,0.6847978662677959,0.6827872225727155,0.6847978662677959,12.0,0.6897999443090388,559.8747742176056,
single_CREMA-D,emotion2vec_logreg,test,1489,0.6427132303559436,0.6448116286051763,0.6416855316618144,0.6462378050018437,0.6437821612996445,0.6462378050018437,,,12.272076606750488,
single_CREMA-D,stats_rbf_svm,test,1489,0.513767629281397,0.5113075014195237,0.5120262982647662,0.5135067675364109,0.5118409159519263,0.5135067675364109,,,30.601048469543457,
single_RAVDESS,stacking_full,test,212,0.8632075471698113,0.8598979987137882,0.8636686717247789,0.8615609536662167,0.8602135102135101,0.8615609536662167,,,,deep_coattention_full+stats_rbf_svm+emotion2vec_logreg+emotion2vec_mlp
single_RAVDESS,deep_coattention_full,test,212,0.8349056603773585,0.8254612960469673,0.8340869461907626,0.8315339631129105,0.829775413827138,0.8315339631129105,12.0,0.7907911026631281,82.17938351631165,
single_RAVDESS,emotion2vec_logreg,test,212,0.8207547169811321,0.8125461973807115,0.8211781453235759,0.8090418353576249,0.8188964010935996,0.8090418353576249,,,1.9670071601867676,
single_RAVDESS,emotion2vec_mlp,test,212,0.7594339622641509,0.7505154168947272,0.758286652081382,0.7535987404408457,0.7563868990712309,0.7535987404408457,,,0.7437593936920166,
single_RAVDESS,stats_rbf_svm,test,212,0.6226415094339622,0.61751508001508,0.6229298061845232,0.6149347728295097,0.6220959177917571,0.6149347728295097,,,1.541874885559082,
single_SAVEE,stacking_full,test,84,0.8333333333333334,0.8279847621514288,0.8347012247012247,0.826388888888889,0.848519536019536,0.826388888888889,,,,deep_coattention_full+stats_rbf_svm+emotion2vec_logreg+emotion2vec_mlp
single_SAVEE,deep_coattention_full,test,84,0.8095238095238095,0.8080360460795243,0.8106147475712694,0.8125,0.8065961815961816,0.8125,14.0,0.8488211135269959,36.34029245376587,
single_SAVEE,emotion2vec_logreg,test,84,0.7976190476190477,0.7975502547611706,0.7991160238378422,0.7986111111111112,0.808378517617648,0.7986111111111112,,,0.537360429763794,
single_SAVEE,emotion2vec_mlp,test,84,0.7738095238095238,0.7765727321524422,0.7727766275592364,0.7777777777777778,0.7908896658896657,0.7777777777777778,,,0.3840756416320801,
single_SAVEE,stats_rbf_svm,test,84,0.6666666666666666,0.6211399711399712,0.6518862090290661,0.6180555555555556,0.6537485065710872,0.6180555555555556,,,0.22965121269226074,
single_TESS,deep_coattention_full,test,480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.9030544757843,
single_TESS,stacking_full,test,480,1.0,1.0,1.0,1.0,1.0,1.0,,,,deep_coattention_full+stats_rbf_svm+emotion2vec_logreg+emotion2vec_mlp
single_TESS,emotion2vec_logreg,test,480,0.9979166666666667,0.9979165852832793,0.9979165852832793,0.9979166666666667,0.9979423868312757,0.9979166666666667,,,0.24953985214233398,
single_TESS,stats_rbf_svm,test,480,0.9958333333333333,0.9958326821899255,0.9958326821899256,0.9958333333333332,0.9959349593495935,0.9958333333333332,,,1.7353370189666748,
single_TESS,emotion2vec_mlp,test,480,0.99375,0.9937498372332253,0.9937498372332253,0.99375,0.993801440329218,0.99375,,,1.205683946609497,
