protocol,epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,val_accuracy
single_CREMA-D,1,1.3426480185857868,0.47914173073741856,1.1874419645938825,0.5678016386717032,0.5860621326616289
single_CREMA-D,2,1.060336275076671,0.6431421960887745,1.1595019069066277,0.6013647819486935,0.6036943744752309
single_CREMA-D,3,0.9197159700597992,0.719135676104497,1.0894711167746287,0.6466707826030035,0.6448362720403022
single_CREMA-D,4,0.8478718204324022,0.758084189560373,1.1328215545010507,0.6285207139488906,0.6364399664147775
single_CREMA-D,5,0.7609212464255661,0.7962774359380047,1.0727534606414717,0.6711019314638116,0.6691855583543241
single_CREMA-D,6,0.7154836331663751,0.8146966542048816,1.0789674271264065,0.6573868594854058,0.6582703610411419
single_CREMA-D,7,0.6701985133768404,0.8383927557803125,1.1054887645490825,0.6656743869266581,0.6641477749790092
single_CREMA-D,8,0.6273489824690455,0.857620269953509,1.1023510021887137,0.6644974703997194,0.6633081444164568
single_CREMA-D,9,0.5261837895102822,0.9023466306109492,1.1178667341131407,0.6853357288113103,0.6826196473551638
single_CREMA-D,10,0.49019353977148084,0.9164132663763147,1.1316786118658724,0.6597598034641903,0.6557514693534845
single_CREMA-D,11,0.462732180755846,0.9255268472809043,1.169763759041313,0.6750484566861967,0.6742233417296389
single_CREMA-D,12,0.44567240572756917,0.9389307365267275,1.117087075632225,0.6897999443090388,0.6884970612930311
single_CREMA-D,13,0.4278953159914576,0.9419197439464538,1.1870398119054453,0.6766641783268282,0.6733837111670865
single_CREMA-D,14,0.406418379215452,0.9580268842153523,1.1858767649388733,0.6796100873194902,0.6775818639798489
single_CREMA-D,15,0.39329286803219704,0.9650644607607687,1.1466082751901083,0.6896457248480892,0.6876574307304786
single_CREMA-D,16,0.37002872006654286,0.9702427846863017,1.1386747519375395,0.6886619018993367,0.6868178001679262
single_CREMA-D,17,0.34956066534815156,0.9800636847966393,1.1596011998371154,0.6844392823838277,0.6826196473551638
single_CREMA-D,18,0.3446945222804737,0.982702366505433,1.209472407622061,0.6812645197419566,0.6784214945424013
single_CREMA-D,19,0.33240536833680795,0.9872413123479035,1.1765603268476819,0.6871593536648338,0.6851385390428212
