protocol,model,split,n_samples,accuracy,macro_f1,weighted_f1,uar,macro_precision,macro_recall,best_epoch,best_val_macro_f1,train_time_sec,stacked_models
combined_random,stacking_full,test,1698,0.803886925795053,0.8051135759028568,0.8037958779172695,0.8056872156542356,0.8051113453812396,0.8056872156542356,,,,deep_coattention_full+stats_rbf_svm+emotion2vec_logreg+emotion2vec_mlp
combined_random,deep_coattention_full,test,1698,0.7873969375736161,0.7892692106317011,0.787822166423419,0.7893728774189414,0.7909782758149789,0.7893728774189414,25.0,0.7979819326560507,1477.5978264808655,
combined_random,emotion2vec_mlp,test,1698,0.7608951707891637,0.7615208370189764,0.7603157630663585,0.7629152048891452,0.7615157303152312,0.7629152048891452,,,13.60587215423584,
combined_random,emotion2vec_logreg,test,1698,0.7167255594817432,0.7177519791241175,0.7159963540919868,0.7189134487536846,0.7168731507276508,0.7189134487536846,,,20.32578706741333,
combined_random,stats_rbf_svm,test,1698,0.6389870435806831,0.6378239163857305,0.6381841241900372,0.6388631075387671,0.6380729505173521,0.6388631075387671,,,57.41229248046875,
combined_strict_no_tess,stacking_full,test,1953,0.695852534562212,0.6959651074528677,0.6943177132852598,0.6991344216456269,0.6992228836601018,0.6991344216456269,,,,deep_coattention_full+stats_rbf_svm+emotion2vec_logreg+emotion2vec_mlp
combined_strict_no_tess,emotion2vec_mlp,test,1953,0.6871479774705581,0.6881787642181925,0.6866409287202354,0.6892638814644242,0.6892664964341028,0.6892638814644242,,,9.154256105422974,
combined_strict_no_tess,deep_coattention_full,test,1953,0.6666666666666666,0.6673118413361143,0.6656130726055722,0.6694508409062873,0.6713753621662004,0.6694508409062873,14.0,0.662934034908242,734.4709606170654,
combined_strict_no_tess,emotion2vec_logreg,test,1953,0.6405529953917051,0.6421915916024307,0.6406956196666072,0.6425788478144661,0.6440044326172017,0.6425788478144661,,,16.673320055007935,
combined_strict_no_tess,stats_rbf_svm,test,1953,0.47465437788018433,0.47478939283151905,0.4747896313597586,0.4760526748632756,0.47879710486162974,0.4760526748632756,,,45.862324237823486,
