protocol,epoch,train_loss,train_macro_f1,val_loss,val_macro_f1,val_accuracy
combined_random,1,1.207525077164587,0.5623534801515434,0.9352825766317415,0.7065913362846263,0.7073027090694936
combined_random,2,0.9215880582360002,0.7202495604103881,0.901894035271958,0.7250617349643069,0.7249705535924618
combined_random,3,0.8251601664078776,0.7630341312217604,0.9151047708288941,0.7273906583996798,0.7237926972909305
combined_random,4,0.7503665901918993,0.7993175671017152,0.8233368771657505,0.7621437311689275,0.7614840989399293
combined_random,5,0.7147345305459847,0.8203273980362833,0.8442823716271471,0.7548648091888505,0.7567726737338045
combined_random,6,0.6621569378585801,0.8440293379322402,0.8794666377057456,0.7626345803602429,0.7620730270906949
combined_random,7,0.6344921862653162,0.8565003093890371,0.8308098467836953,0.7768758747086099,0.7773851590106007
combined_random,8,0.6104842743824233,0.8672149775651771,0.881722191407908,0.7687748057349483,0.7697290930506479
combined_random,9,0.5671079954238962,0.8872590062163354,0.8823945812959975,0.7609674142403583,0.7614840989399293
combined_random,10,0.5401378258876526,0.8966706267050709,0.9294263202394276,0.7617498377151254,0.7597173144876325
combined_random,11,0.46884922134862705,0.9301466197900021,0.8465528945198328,0.7712912060731437,0.7720848056537103
combined_random,12,0.4427617986407519,0.9373362746191157,0.8713578299583058,0.7760989323217093,0.7750294464075382
combined_random,13,0.4167317237506053,0.9514030842619947,0.857816732814371,0.7853691997871025,0.7856301531213192
combined_random,14,0.40422218893908024,0.954719036487058,0.8634604927507812,0.7876768766339574,0.7879858657243817
combined_random,15,0.3982566841818621,0.957718240756535,0.8634596342754027,0.7881183769229185,0.7873969375736161
combined_random,16,0.38606919267159223,0.9623818554671305,0.8648435997878705,0.7807762488150457,0.7809187279151943
combined_random,17,0.3844725333249203,0.9645971933335074,0.9015530130888464,0.7771669276194051,0.7779740871613663
combined_random,18,0.37185539334745304,0.9669156809997769,0.8884907691301811,0.7878805506997381,0.7868080094228505
combined_random,19,0.3510088944748155,0.9782169843197545,0.8794525404700964,0.7928737157360279,0.7926972909305064
combined_random,20,0.34001273100024865,0.9841066167809052,0.8677018872419432,0.7943799558144781,0.7938751472320377
combined_random,21,0.33591724617841523,0.9839654849856375,0.8774603202991688,0.7845597816092779,0.7838633686690224
combined_random,22,0.33374427891247144,0.9856138753426461,0.8823184558443804,0.7886292550736037,0.7879858657243817
combined_random,23,0.3271975932646815,0.9857628580407258,0.907204649894903,0.7867297275614408,0.7850412249705536
combined_random,24,0.3247981617177109,0.9883959158760693,0.8852641873140639,0.7913429301943586,0.7909305064782096
combined_random,25,0.31794678108392077,0.9906854190246152,0.8849120409665596,0.7979819326560507,0.7974087161366313
combined_random,26,0.3199083968901059,0.989832113556905,0.8869023826433997,0.7951420050791987,0.7950530035335689
combined_random,27,0.31280596956296514,0.9925642042638044,0.8832493841437484,0.7961107064852951,0.7950530035335689
combined_random,28,0.3119453462164084,0.9935301340476236,0.8965327781839,0.7946020702190236,0.7944640753828033
combined_random,29,0.3083603211596614,0.9955646561140291,0.8877710464143922,0.7960370284657882,0.7950530035335689
combined_random,30,0.3123294314099839,0.992798909351324,0.8749106694868513,0.7960360976323045,0.7950530035335689
combined_random,31,0.3040572054427375,0.996854292953631,0.8767701195743817,0.792710794395946,0.7921083627797408
combined_random,32,0.30694802889332085,0.9952354979106747,0.8713006952204889,0.7969729336162305,0.7962308598351001
combined_strict_no_tess,1,1.3426733279937904,0.4977553079559553,1.2799085780520625,0.5303522138770737,0.5340453938584779
combined_strict_no_tess,2,1.0386412320746976,0.6544938233633001,1.2255996671792502,0.6021932138995266,0.6008010680907877
combined_strict_no_tess,3,0.9074128703541652,0.7228861404603117,1.3890437417736996,0.5716858169047233,0.5660881174899867
combined_strict_no_tess,4,0.835787559514648,0.7616996308012643,1.2860271235970215,0.6169493591199601,0.6114819759679573
combined_strict_no_tess,5,0.7633373722757721,0.7968968100176445,1.2510913903308964,0.6241805707948656,0.6234979973297731
combined_strict_no_tess,6,0.7077228251044442,0.8263270908838573,1.2462279850714038,0.63933436612456,0.636849132176235
combined_strict_no_tess,7,0.6627270736333735,0.8423619204958298,1.2143625116475594,0.6511659659078063,0.650200267022697
combined_strict_no_tess,8,0.62376988476932,0.8605285604249401,1.2210460243938126,0.6394204976075163,0.6381842456608812
combined_strict_no_tess,9,0.5927932664452304,0.8742490722854406,1.327662927127171,0.6527346706988784,0.6461949265687583
combined_strict_no_tess,10,0.5701596698546161,0.8835678904015962,1.3578846269201372,0.6186120671128764,0.6128170894526035
combined_strict_no_tess,11,0.5228476430462525,0.9042867922155159,1.3238658051942793,0.6188252244918547,0.6181575433911882
combined_strict_no_tess,12,0.510780508836622,0.9141120855514807,1.3244063348095312,0.6268602702257018,0.6261682242990654
combined_strict_no_tess,13,0.4459998202151286,0.9386732156739334,1.3656361995933848,0.6418830473520928,0.6395193591455274
combined_strict_no_tess,14,0.40449081323171754,0.9556431682965111,1.3319607057940657,0.662934034908242,0.6608811748998665
combined_strict_no_tess,15,0.4053570483638122,0.953496808676142,1.3890740688397825,0.6448881539352188,0.6448598130841121
combined_strict_no_tess,16,0.3921275971306013,0.9625635237268436,1.362066494925159,0.6611351816302468,0.6582109479305741
combined_strict_no_tess,17,0.3794639456348849,0.9653842815920312,1.3969707987177993,0.6568330658793945,0.6515353805073432
combined_strict_no_tess,18,0.3605029478009823,0.9764187303251409,1.3962505662711822,0.6576478427872933,0.6542056074766355
combined_strict_no_tess,19,0.3439799549593047,0.9831690471504753,1.3742643602699718,0.6626968201929021,0.6595460614152203
combined_strict_no_tess,20,0.34642742815654504,0.9810823501009858,1.407448304511199,0.6578786400260695,0.6542056074766355
combined_strict_no_tess,21,0.334449877426304,0.9853660813569137,1.4059544691893064,0.6455004509106034,0.6435246995994659
