experiment,feature_set,model,split,n_samples,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,train_time_sec,inference_time_sec,inference_ms_per_sample
combined_random,mfcc,dummy_most_frequent,test,1698,0.1702002355712603,0.04848179835598054,0.04950968100663737,0.028366705928543384,0.16666666666666666,0.03188371658325195,0.0028367042541503906,0.001670614990665719
combined_random,mfcc,logistic_regression,test,1698,0.5918727915194346,0.5904670246013851,0.5899895993385598,0.5912941038854539,0.593462650583109,3.202934980392456,0.010538101196289062,0.006206184450111344
combined_random,mfcc,linear_svm,test,1698,0.5936395759717314,0.5911669895397657,0.5905328897635447,0.5937211131286682,0.5956448040817635,4.424882411956787,0.008391618728637695,0.004942060499786629
combined_random,mfcc,random_forest,test,1698,0.5859835100117785,0.581106698073573,0.580806694253636,0.5909885460399397,0.5878583357362553,22.614367485046387,0.14231419563293457,0.08381283606179893
combined_random,mfcc,extra_trees,test,1698,0.5906949352179034,0.5851838581970344,0.5848346673124819,0.6039942818750613,0.5928596673555043,6.1283605098724365,0.19340014457702637,0.11389878950354909
combined_random,mfcc,rbf_svm,test,1698,0.6448763250883393,0.6450247062127717,0.6452018900258829,0.6467186644849917,0.6458778875112137,58.320178508758545,3.058335304260254,1.8011397551591601
combined_random,full,dummy_most_frequent,test,1698,0.1702002355712603,0.04848179835598054,0.04950968100663737,0.028366705928543384,0.16666666666666666,0.03722095489501953,0.003570079803466797,0.002102520496741341
combined_random,full,logistic_regression,test,1698,0.6201413427561837,0.6191901354431119,0.619254920946651,0.620063637036214,0.6207363153594772,5.046540021896362,0.006515979766845703,0.0038374439145145486
combined_random,full,linear_svm,test,1698,0.6136631330977621,0.6120225928952356,0.6117217941950371,0.6153343178345905,0.6149129841887735,15.247679710388184,0.0064029693603515625,0.0037708889048006845
combined_random,full,random_forest,test,1698,0.6024734982332155,0.5984385491716457,0.5987428069352176,0.6097107401948341,0.6037486583685762,24.70673179626465,0.14313530921936035,0.08429641296782117
combined_random,full,extra_trees,test,1698,0.5995288574793876,0.5937102769122307,0.5935041083747064,0.6106098300178044,0.6013212065872101,6.5405519008636475,0.20786261558532715,0.12241614580996887
combined_random,full,rbf_svm,test,1698,0.6501766784452296,0.6503392234132739,0.6502887422573888,0.6516119451418664,0.6512168797257465,77.50006914138794,3.5710031986236572,2.1030643101434965
combined_strict_no_tess,mfcc,dummy_most_frequent,test,1953,0.16999487967229904,0.048431801604668125,0.0493989497165893,0.028332479945383172,0.16666666666666666,0.019494056701660156,0.0027742385864257812,0.0014205010683183725
combined_strict_no_tess,mfcc,logistic_regression,test,1953,0.43727598566308246,0.43772565346755327,0.43735884357279453,0.4520368790562525,0.44034157106240657,2.109650135040283,0.005989789962768555,0.003066968746937304
combined_strict_no_tess,mfcc,linear_svm,test,1953,0.43676395289298514,0.43569222552672876,0.43532276746653703,0.44830684229926837,0.43997320339377993,3.0991570949554443,0.005765676498413086,0.002952215308967274
combined_strict_no_tess,mfcc,random_forest,test,1953,0.44649257552483357,0.43347596565269875,0.4330018293794351,0.44279410640509714,0.4491772550954672,16.733169317245483,0.14249110221862793,0.07296011378321962
combined_strict_no_tess,mfcc,extra_trees,test,1953,0.452636968766001,0.4343991619732186,0.4334822566236992,0.4503118155602654,0.45600319366202013,5.0831825733184814,0.1941089630126953,0.09939015003210205
combined_strict_no_tess,mfcc,rbf_svm,test,1953,0.4715821812596006,0.4714127077810954,0.47055158906033057,0.4754137442855879,0.4741765697602698,52.36551380157471,3.466524124145508,1.7749739498952932
combined_strict_no_tess,full,dummy_most_frequent,test,1953,0.16999487967229904,0.048431801604668125,0.0493989497165893,0.028332479945383172,0.16666666666666666,0.029235124588012695,0.00448298454284668,0.0022954349937771017
combined_strict_no_tess,full,logistic_regression,test,1953,0.4572452636968766,0.4563220149966429,0.455812630620298,0.46400841289684297,0.46025398522417316,3.8003435134887695,0.006825923919677734,0.003495096733065916
combined_strict_no_tess,full,linear_svm,test,1953,0.4567332309267793,0.45459924906668076,0.45416558543336116,0.46216961984977684,0.4598856175555464,15.707032918930054,0.0066127777099609375,0.0033859588888688875
combined_strict_no_tess,full,random_forest,test,1953,0.4726062467997952,0.4635683306609195,0.4633036805870381,0.4747918951835084,0.47538104636977946,18.263352155685425,0.15317821502685547,0.07843226575875856
combined_strict_no_tess,full,extra_trees,test,1953,0.4567332309267793,0.44012341832399987,0.4396839440627511,0.4573415554910841,0.4598187973737955,5.49717116355896,0.19890570640563965,0.10184623983903719
combined_strict_no_tess,full,rbf_svm,test,1953,0.4792626728110599,0.47930162222859396,0.47867463923385795,0.48502516821874603,0.48184033060569914,53.400261878967285,3.6962966918945312,1.8926250342521922
single_CREMA-D,mfcc,dummy_most_frequent,test,1117,0.1700984780662489,0.04845702626880898,0.049454798519643905,0.028349746344374815,0.16666666666666666,0.019449472427368164,0.0022764205932617188,0.002037977254486767
single_CREMA-D,mfcc,logistic_regression,test,1117,0.5031333930170099,0.5002903268382887,0.5013943385916396,0.4993828170315903,0.5027361388406616,1.8161022663116455,0.0055620670318603516,0.004979469142220547
single_CREMA-D,mfcc,linear_svm,test,1117,0.5058191584601611,0.5001768831957762,0.5011427901745772,0.4996159208659208,0.5055130196930994,2.232414484024048,0.003645181655883789,0.0032633676417939024
single_CREMA-D,mfcc,random_forest,test,1117,0.4986571172784244,0.48237491151208717,0.4829254594045192,0.49018904931848045,0.4986821114392637,14.009194135665894,0.13234353065490723,0.11848122708586144
single_CREMA-D,mfcc,extra_trees,test,1117,0.4923903312444047,0.47301841967719227,0.4726494990698894,0.49176629343769257,0.49378684320411415,4.522692918777466,0.1836841106414795,0.16444414560562176
single_CREMA-D,mfcc,rbf_svm,test,1117,0.5461056401074306,0.5412620488408528,0.542279623504326,0.5411045805666972,0.5452434969156099,33.04623556137085,1.5152418613433838,1.3565280764041037
single_CREMA-D,full,dummy_most_frequent,test,1117,0.1700984780662489,0.04845702626880898,0.049454798519643905,0.028349746344374815,0.16666666666666666,0.026488065719604492,0.002695322036743164,0.0024130009281496546
single_CREMA-D,full,logistic_regression,test,1117,0.5183527305282005,0.5146433140991354,0.5154367595964272,0.5131831815036656,0.5180062504895523,3.3295810222625732,0.004610776901245117,0.004127821755814787
single_CREMA-D,full,linear_svm,test,1117,0.5210384959713519,0.5166685373194085,0.5169909627540741,0.5150547528613972,0.5209376185138913,10.762983322143555,0.007178068161010742,0.0064262024718090794
single_CREMA-D,full,random_forest,test,1117,0.5013428827215757,0.48852737597249574,0.48901845878027883,0.5043107744200722,0.5017128550345124,15.25486707687378,0.14234638214111328,0.12743633137073704
single_CREMA-D,full,extra_trees,test,1117,0.4941808415398389,0.47615898830792863,0.47555125649666646,0.49392673926185343,0.4962539607941255,4.669865846633911,0.19478917121887207,0.17438600825324269
single_CREMA-D,full,rbf_svm,test,1117,0.5604297224709042,0.556811420176991,0.557340447940866,0.5578546203420678,0.5593366265050735,39.32827353477478,1.9375734329223633,1.7346225899036376
single_RAVDESS,mfcc,dummy_most_frequent,test,159,0.18238993710691823,0.051418439716312055,0.056269235915964146,0.03039832285115304,0.16666666666666666,0.004057168960571289,0.0007987022399902344,0.005023284528240468
single_RAVDESS,mfcc,logistic_regression,test,159,0.5723270440251572,0.5693800500223337,0.5691867932858962,0.6092338217338217,0.5599343185550082,1.2779507637023926,0.0013079643249511719,0.008226190722963345
single_RAVDESS,mfcc,linear_svm,test,159,0.5534591194968553,0.5533963112910482,0.5548052521240208,0.5624603174603174,0.5488505747126436,15.562912464141846,0.0012035369873046875,0.00756941501449489
single_RAVDESS,mfcc,random_forest,test,159,0.5471698113207547,0.5341552377850018,0.5426185201756205,0.6184122915996398,0.5246305418719212,1.893566608428955,0.10916543006896973,0.6865750318803128
single_RAVDESS,mfcc,extra_trees,test,159,0.5723270440251572,0.5414072477650064,0.5610368623340322,0.603059774099661,0.5414614121510674,1.1474575996398926,0.15978550910949707,1.0049403088647615
single_RAVDESS,mfcc,rbf_svm,test,159,0.6289308176100629,0.628161294573851,0.6299976759323358,0.6531514272893584,0.617816091954023,0.6239840984344482,0.03647947311401367,0.22943064851580924
single_RAVDESS,full,dummy_most_frequent,test,159,0.18238993710691823,0.051418439716312055,0.056269235915964146,0.03039832285115304,0.16666666666666666,0.004002571105957031,0.0007469654083251953,0.004697895649843996
single_RAVDESS,full,logistic_regression,test,159,0.5849056603773585,0.5813181839278331,0.583329333354987,0.5926723276723277,0.5775862068965516,1.1999144554138184,0.0012292861938476562,0.007731359709733687
single_RAVDESS,full,linear_svm,test,159,0.5031446540880503,0.49505703316078886,0.502452350754574,0.5069257054673721,0.49055829228243025,25.85826826095581,0.0014338493347167969,0.009017920344130797
single_RAVDESS,full,random_forest,test,159,0.5723270440251572,0.5691210116166833,0.56998148441071,0.5795526695526695,0.5660919540229884,1.9249753952026367,0.1101229190826416,0.6925969753625258
single_RAVDESS,full,extra_trees,test,159,0.6037735849056604,0.6009126170599639,0.6001783684643083,0.624186245068598,0.5948275862068965,1.1904106140136719,0.16168904304504395,1.0169122204090815
single_RAVDESS,full,rbf_svm,test,159,0.6855345911949685,0.6779980431232367,0.6860551610978258,0.6888368758434548,0.6756978653530377,0.7278378009796143,0.036481618881225586,0.22944414390707915
single_SAVEE,mfcc,dummy_most_frequent,test,63,0.2857142857142857,0.07407407407407407,0.12698412698412698,0.047619047619047616,0.16666666666666666,0.0025644302368164062,0.0005459785461425781,0.008666326129247271
single_SAVEE,mfcc,logistic_regression,test,63,0.6507936507936508,0.6181595826736491,0.655901491031195,0.6403769841269842,0.6203703703703703,0.04444527626037598,0.0007014274597167969,0.011133769201853919
single_SAVEE,mfcc,linear_svm,test,63,0.7142857142857143,0.6806444859076439,0.7069616829015326,0.7095816464237515,0.6851851851851851,0.16309905052185059,0.0007989406585693359,0.012681597755068824
single_SAVEE,mfcc,random_forest,test,63,0.5873015873015873,0.5118131782218468,0.5395373460388939,0.6097582972582972,0.5185185185185185,1.0918092727661133,0.0786128044128418,1.24782229226733
single_SAVEE,mfcc,extra_trees,test,63,0.6190476190476191,0.5623068403331561,0.5848344345712767,0.7141203703703703,0.5555555555555555,0.7955179214477539,0.12283515930175781,1.9497644333612352
single_SAVEE,mfcc,rbf_svm,test,63,0.6666666666666666,0.630002894708777,0.6503920915685621,0.6787494912494912,0.6203703703703703,0.11007189750671387,0.006138801574707031,0.09744129483661955
single_SAVEE,full,dummy_most_frequent,test,63,0.2857142857142857,0.07407407407407407,0.12698412698412698,0.047619047619047616,0.16666666666666666,0.002553224563598633,0.0006413459777832031,0.010180094885447669
single_SAVEE,full,logistic_regression,test,63,0.7142857142857143,0.6786433492315845,0.7129684306154894,0.6943067897015265,0.6759259259259259,0.044793128967285156,0.0008296966552734375,0.013169788178943452
single_SAVEE,full,linear_svm,test,63,0.7142857142857143,0.6884563134563134,0.7136575350861064,0.7191507809928863,0.6851851851851851,0.20737195014953613,0.0008895397186279297,0.0141196780734592
single_SAVEE,full,random_forest,test,63,0.5873015873015873,0.5212075887075888,0.5496065046065045,0.6168981481481481,0.5185185185185185,1.0762968063354492,0.07959675788879395,1.2634406014094277
single_SAVEE,full,extra_trees,test,63,0.5873015873015873,0.5212075887075888,0.5496065046065045,0.6168981481481481,0.5185185185185185,0.8152058124542236,0.12278342247009277,1.9489432138109963
single_SAVEE,full,rbf_svm,test,63,0.6984126984126984,0.6600242121139955,0.6871636103834246,0.6962121212121213,0.6574074074074073,0.11697196960449219,0.0059967041015625,0.09518577938988096
single_TESS,mfcc,dummy_most_frequent,test,360,0.16666666666666666,0.047619047619047616,0.047619047619047616,0.027777777777777776,0.16666666666666666,0.006134033203125,0.0009479522705078125,0.0026332007514105905
single_TESS,mfcc,logistic_regression,test,360,1.0,1.0,1.0,1.0,1.0,1.050610065460205,0.0018510818481445312,0.005141894022623698
single_TESS,mfcc,linear_svm,test,360,1.0,1.0,1.0,1.0,1.0,7.925945281982422,0.0016541481018066406,0.00459485583835178
single_TESS,mfcc,random_forest,test,360,0.9944444444444445,0.9944429008057795,0.9944429008057796,0.9946236559139785,0.9944444444444445,2.9743096828460693,0.1088559627532959,0.30237767431471085
single_TESS,mfcc,extra_trees,test,360,0.9972222222222222,0.9972220293075909,0.9972220293075906,0.9972677595628415,0.9972222222222222,1.149432897567749,0.16142511367797852,0.44840309354994035
single_TESS,mfcc,rbf_svm,test,360,1.0,1.0,1.0,1.0,1.0,0.9551167488098145,0.08187294006347656,0.22742483350965711
single_TESS,full,dummy_most_frequent,test,360,0.16666666666666666,0.047619047619047616,0.047619047619047616,0.027777777777777776,0.16666666666666666,0.007237434387207031,0.0010285377502441406,0.002857049306233724
single_TESS,full,logistic_regression,test,360,1.0,1.0,1.0,1.0,1.0,1.052452564239502,0.0021822452545166016,0.0060617923736572266
single_TESS,full,linear_svm,test,360,1.0,1.0,1.0,1.0,1.0,14.51888656616211,0.00189971923828125,0.005276997884114583
single_TESS,full,random_forest,test,360,0.9972222222222222,0.9972220293075909,0.9972220293075906,0.9972677595628415,0.9972222222222222,3.1402673721313477,0.1218099594116211,0.3383609983656142
single_TESS,full,extra_trees,test,360,0.9972222222222222,0.9972220293075909,0.9972220293075906,0.9972677595628415,0.9972222222222222,1.1685609817504883,0.1640305519104004,0.45564042197333443
single_TESS,full,rbf_svm,test,360,1.0,1.0,1.0,1.0,1.0,1.1003773212432861,0.10474777221679688,0.2909660339355469
