experiment,feature_set,model,dataset,n_samples,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
combined_random,mfcc,extra_trees,TESS,361,0.997229916897507,0.9973074501118276,0.997230819145928,0.9972222222222222,0.9974358974358974
combined_random,mfcc,rbf_svm,CREMA-D,1115,0.5354260089686098,0.5333996077492178,0.5359605588029694,0.5378029664362852,0.536293262549023
combined_random,mfcc,rbf_svm,RAVDESS,159,0.6729559748427673,0.6727810137993204,0.6741640095964175,0.7092788722627432,0.6615719022209325
combined_random,mfcc,rbf_svm,SAVEE,63,0.47619047619047616,0.4147558147558148,0.4952896952896953,0.506102900930487,0.4359126984126984
combined_random,mfcc,rbf_svm,TESS,361,1.0,1.0,1.0,1.0,1.0
combined_random,full,dummy_most_frequent,CREMA-D,1115,0.17937219730941703,0.050697084917617236,0.05456188511313066,0.029895366218236172,0.16666666666666666
combined_random,full,dummy_most_frequent,RAVDESS,159,0.18867924528301888,0.05291005291005291,0.05989817310572027,0.031446540880503145,0.16666666666666666
combined_random,full,dummy_most_frequent,SAVEE,63,0.1111111111111111,0.03333333333333333,0.022222222222222223,0.018518518518518517,0.16666666666666666
combined_random,full,dummy_most_frequent,TESS,361,0.1440443213296399,0.041969330104923326,0.03627266202973983,0.024007386888273318,0.16666666666666666
combined_random,full,logistic_regression,CREMA-D,1115,0.5192825112107623,0.5159085903973906,0.518432025275221,0.516686873701402,0.5189267286732725
combined_random,full,logistic_regression,RAVDESS,159,0.5534591194968553,0.5299303121452424,0.5475648962577624,0.5402799548108473,0.5319869635074935
combined_random,full,logistic_regression,SAVEE,63,0.47619047619047616,0.40465229215229215,0.49028379028379027,0.42430555555555555,0.39980158730158727
combined_random,full,logistic_regression,TESS,361,0.9861495844875346,0.9863982266011071,0.9861684364319887,0.9866610318074263,0.9862301762416417
combined_random,full,linear_svm,CREMA-D,1115,0.5067264573991032,0.5024274047410023,0.504244145651783,0.5060709871953759,0.5074984104477193
combined_random,full,linear_svm,RAVDESS,159,0.5345911949685535,0.5090474453404531,0.5261225292134345,0.5175845727316316,0.5168195472156395
combined_random,full,linear_svm,SAVEE,63,0.5238095238095238,0.4161965019107876,0.5220815465713425,0.43888888888888894,0.4079365079365079
combined_random,full,linear_svm,TESS,361,0.9944598337950139,0.9947209839464142,0.9944614025295949,0.9945767195767196,0.9949483352468427
combined_random,full,random_forest,CREMA-D,1115,0.48789237668161434,0.4755299241964787,0.47915465915092814,0.4892656198201024,0.48615160952718556
combined_random,full,random_forest,RAVDESS,159,0.5220125786163522,0.5048259302843011,0.5282500150960683,0.5614710703526492,0.5077700397113271
combined_random,full,random_forest,SAVEE,63,0.5873015873015873,0.4400967697020328,0.540982084841734,0.4688492063492064,0.4509920634920635
