experiment,feature_set,model,class,precision,recall,f1-score,support
combined_random,mfcc,dummy_most_frequent,neutral,0.0,0.0,0.0,256.0
combined_random,mfcc,dummy_most_frequent,happy,0.1702002355712603,1.0,0.29089079013588326,289.0
combined_random,mfcc,dummy_most_frequent,sad,0.0,0.0,0.0,288.0
combined_random,mfcc,dummy_most_frequent,angry,0.0,0.0,0.0,288.0
combined_random,mfcc,dummy_most_frequent,fear,0.0,0.0,0.0,289.0
combined_random,mfcc,dummy_most_frequent,disgust,0.0,0.0,0.0,288.0
combined_random,mfcc,dummy_most_frequent,accuracy,0.1702002355712603,0.1702002355712603,0.1702002355712603,0.1702002355712603
combined_random,mfcc,dummy_most_frequent,macro avg,0.028366705928543384,0.16666666666666666,0.04848179835598054,1698.0
combined_random,mfcc,dummy_most_frequent,weighted avg,0.0289681201885125,0.1702002355712603,0.04950968100663737,1698.0
combined_random,mfcc,logistic_regression,neutral,0.5620915032679739,0.671875,0.6120996441281139,256.0
combined_random,mfcc,logistic_regression,happy,0.6033755274261603,0.49480968858131485,0.5437262357414449,289.0
combined_random,mfcc,logistic_regression,sad,0.5466666666666666,0.5694444444444444,0.5578231292517006,288.0
combined_random,mfcc,logistic_regression,angry,0.717607973421927,0.75,0.733446519524618,288.0
combined_random,mfcc,logistic_regression,fear,0.5370370370370371,0.5017301038062284,0.518783542039356,289.0
combined_random,mfcc,logistic_regression,disgust,0.5809859154929577,0.5729166666666666,0.5769230769230769,288.0
combined_random,mfcc,logistic_regression,accuracy,0.5918727915194346,0.5918727915194346,0.5918727915194346,0.5918727915194346
combined_random,mfcc,logistic_regression,macro avg,0.5912941038854539,0.593462650583109,0.5904670246013851,1698.0
combined_random,mfcc,logistic_regression,weighted avg,0.5918196089363675,0.5918727915194346,0.5899895993385598,1698.0
combined_random,mfcc,linear_svm,neutral,0.5615141955835962,0.6953125,0.6212914485165794,256.0
combined_random,mfcc,linear_svm,happy,0.6194690265486725,0.4844290657439446,0.5436893203883495,289.0
combined_random,mfcc,linear_svm,sad,0.5301587301587302,0.5798611111111112,0.5538971807628524,288.0
combined_random,mfcc,linear_svm,angry,0.6993670886075949,0.7673611111111112,0.7317880794701986,288.0
combined_random,mfcc,linear_svm,fear,0.5657370517928287,0.4913494809688581,0.5259259259259259,289.0
combined_random,mfcc,linear_svm,disgust,0.5860805860805861,0.5555555555555556,0.5704099821746881,288.0
combined_random,mfcc,linear_svm,accuracy,0.5936395759717314,0.5936395759717314,0.5936395759717314,0.5936395759717314
combined_random,mfcc,linear_svm,macro avg,0.5937211131286682,0.5956448040817635,0.5911669895397657,1698.0
combined_random,mfcc,linear_svm,weighted avg,0.5943267581307449,0.5936395759717314,0.5905328897635447,1698.0
combined_random,mfcc,random_forest,neutral,0.5272727272727272,0.6796875,0.5938566552901023,256.0
combined_random,mfcc,random_forest,happy,0.5843621399176955,0.4913494809688581,0.5338345864661654,289.0
combined_random,mfcc,random_forest,sad,0.5525525525525525,0.6388888888888888,0.5925925925925926,288.0
combined_random,mfcc,random_forest,angry,0.6253521126760564,0.7708333333333334,0.6905132192846034,288.0
combined_random,mfcc,random_forest,fear,0.6580310880829016,0.43944636678200694,0.5269709543568465,289.0
combined_random,mfcc,random_forest,disgust,0.5983606557377049,0.5069444444444444,0.5488721804511278,288.0
combined_random,mfcc,random_forest,accuracy,0.5859835100117785,0.5859835100117785,0.5859835100117785,0.5859835100117785
combined_random,mfcc,random_forest,macro avg,0.5909885460399397,0.5878583357362553,0.581106698073573,1698.0
combined_random,mfcc,random_forest,weighted avg,0.5922248960614188,0.5859835100117785,0.580806694253636,1698.0
combined_random,mfcc,extra_trees,neutral,0.5264705882352941,0.69921875,0.6006711409395973,256.0
combined_random,mfcc,extra_trees,happy,0.6085106382978723,0.49480968858131485,0.5458015267175572,289.0
combined_random,mfcc,extra_trees,sad,0.5446685878962536,0.65625,0.5952755905511811,288.0
combined_random,mfcc,extra_trees,angry,0.5989304812834224,0.7777777777777778,0.676737160120846,288.0
combined_random,mfcc,extra_trees,fear,0.711764705882353,0.4186851211072664,0.5272331154684096,289.0
combined_random,mfcc,extra_trees,disgust,0.6336206896551724,0.5104166666666666,0.5653846153846154,288.0
