Model,Modality,Split,WA/WAR,UAR/UA,CCC V,CCC A,CCC D,Note
"Wav2Vec2 P-TAPT (Chen & Rudnicky, 2021)",audio,IEMOCAP session-level,,74.30,,,,Pretrained speech fine-tuning reference for 03A
Ispas et al. 2024 multi-task multi-modal,audio + transcript,10-fold speaker,74.69,74.68,0.738,0.685,,Reference for multi-task + bridge/cross-attention
Proposed notebook branch,current branch,5-fold + 10-fold,10fold_speaker: 67.45 ± 4.93; 5fold_session: 66.28 ± 2.28,10fold_speaker: 69.47 ± 5.23; 5fold_session: 67.81 ± 2.80,10fold_speaker: 0.68 ± 0.05; 5fold_session: 0.66 ± 0.02,10fold_speaker: 0.53 ± 0.05; 5fold_session: 0.53 ± 0.02,10fold_speaker: 0.50 ± 0.04; 5fold_session: 0.49 ± 0.03,Direct result from this notebook; compare carefully because modality/split can differ from papers
