protocol,model,split,n_samples,accuracy,macro_f1,weighted_f1,uar,macro_precision,macro_recall,best_epoch,best_val_macro_f1,train_time_sec,stacked_models
combined_random,stacking_full_augmented,test,1698,0.7950530035335689,0.7957236336847405,0.7944166550088733,0.7967313252915545,0.7956314565825613,0.7967313252915545,,,,deep_multilevel_coattention_augmented+rich_stats_rbf_svm_augmented+emotion2vec_logreg_augmented+emotion2vec_mlp_augmented
combined_random,deep_multilevel_coattention_augmented,test,1698,0.7744405182567726,0.7738970030921056,0.772354191088663,0.7772281093810073,0.7736525687750163,0.7772281093810073,16.0,0.7961887301354406,2412.1021630764008,
combined_random,emotion2vec_mlp_augmented,test,1698,0.7567726737338045,0.7568111400160604,0.7556433838133156,0.758488572103678,0.7563981544736196,0.758488572103678,,,20.54338574409485,
combined_random,emotion2vec_logreg_augmented,test,1698,0.7391048292108363,0.7395006978559898,0.7383559170744066,0.740886167579777,0.7387694506609582,0.740886167579777,,,37.149704694747925,
combined_random,rich_stats_rbf_svm_augmented,test,1698,0.6566548881036514,0.6564381016683843,0.6566000801717571,0.6569015422754069,0.6566188405121874,0.6569015422754069,,,221.3502321243286,
combined_strict_no_tess,stacking_full_augmented,test,1953,0.699436763952893,0.697962788273486,0.6963282284711145,0.7027821182340283,0.6997131414465838,0.7027821182340283,,,,deep_multilevel_coattention_augmented+rich_stats_rbf_svm_augmented+emotion2vec_logreg_augmented+emotion2vec_mlp_augmented
combined_strict_no_tess,emotion2vec_logreg_augmented,test,1953,0.6733230926779313,0.6748579958381097,0.6732995103071749,0.675308743506449,0.6773670651108173,0.675308743506449,,,35.91870832443237,
combined_strict_no_tess,emotion2vec_mlp_augmented,test,1953,0.6712749615975423,0.6726354552409283,0.6710905411366765,0.6731670710144332,0.6776797266227429,0.6731670710144332,,,11.825173377990723,
combined_strict_no_tess,deep_multilevel_coattention_augmented,test,1953,0.6630824372759857,0.6630607225357595,0.661161053002725,0.666337705771893,0.6637696691629335,0.666337705771893,21.0,0.6805205344564511,2314.7281374931335,
combined_strict_no_tess,rich_stats_rbf_svm_augmented,test,1953,0.4987199180747568,0.4981655501349012,0.49783866636129387,0.500782995463081,0.5049553766647487,0.500782995463081,,,214.74086356163025,
